info,column_name,data_type
Updated Subscribers Structure,id,uuid
Updated Subscribers Structure,email,text
Updated Subscribers Structure,subscription_tier,text
Updated Subscribers Structure,stripe_customer_id,text
Updated Subscribers Structure,subscription_status,text
Updated Subscribers Structure,created_at,timestamp with time zone
Updated Subscribers Structure,updated_at,timestamp with time zone
Updated Subscribers Structure,user_id,uuid
Updated Subscribers Structure,subscribed,boolean
Updated Subscribers Structure,subscription_end,timestamp with time zone
Updated Subscribers Structure,exclusive_privileges,boolean
Updated Subscribers Structure,admin_tier,text